tokenId, hat, fur, clothes, eyes, earring, mouth, background
1,0,10,33,0,0,0,1
2,12,12,24,6,0,21,7
3,8,10,26,0,0,30,3
4,3,1,7,7,0,0,2
5,15,0,24,8,0,25,5
6,15,13,2,17,0,0,1
7,29,1,27,17,0,0,7
8,27,9,13,2,0,19,0
9,1,1,6,5,0,8,1
10,18,1,0,16,0,12,0
11,0,2,23,6,0,25,7
12,7,2,18,0,0,12,1
13,3,3,0,14,5,0,0
14,34,4,6,2,0,14,7
15,32,9,0,3,3,0,6
16,11,5,30,12,2,1,2
17,8,3,31,14,1,4,7
18,29,10,0,13,3,2,7
19,1,10,12,1,1,6,1
20,25,15,4,11,0,2,5
21,4,1,26,5,0,0,7
22,10,11,0,8,1,1,3
23,0,14,26,16,0,3,3
24,0,8,0,22,0,6,3
25,0,11,1,0,0,0,5
26,32,0,15,21,0,0,0
27,13,1,19,2,0,2,5
28,33,3,22,1,0,0,6
29,6,1,21,2,0,1,1
30,18,0,35,0,0,0,4
31,31,2,2,16,0,16,6
32,22,0,17,1,0,2,6
33,16,1,26,2,0,4,3
34,27,5,17,15,1,3,4
35,1,8,15,2,0,26,7
36,27,0,0,0,0,1,0
37,0,0,2,4,0,3,0
38,0,10,42,0,0,16,5
39,0,15,28,7,1,1,1
40,8,4,38,0,0,0,0
41,18,2,19,0,0,6,0
42,24,4,0,0,0,9,0
43,5,10,6,2,0,19,0
44,5,8,23,1,1,1,5
45,1,3,0,18,3,22,6
46,0,8,3,18,5,1,7
47,6,0,36,5,0,4,5
48,0,11,0,0,0,22,5
49,8,13,13,8,0,0,0
50,4,12,32,0,0,1,7
51,28,12,24,2,0,26,4
52,5,1,14,3,0,15,2
53,11,14,9,15,0,14,1
54,0,5,32,9,3,1,0
55,3,1,10,13,0,0,3
56,3,5,29,18,5,0,6
57,2,2,42,13,0,26,6
58,1,2,0,3,1,0,5
59,2,7,36,3,0,6,0
60,0,11,32,2,0,0,6
61,0,7,14,1,1,23,2
62,12,11,0,12,0,5,5
63,17,11,21,0,3,0,3
64,0,8,0,19,0,31,2
65,14,9,37,2,4,0,2
66,0,1,8,5,6,0,3
67,0,8,20,11,1,11,4
68,0,3,35,13,0,10,1
69,1,3,9,3,0,3,4
70,25,2,32,0,2,1,0
71,0,1,9,2,0,10,3
72,27,9,2,20,0,10,4
73,0,4,3,19,0,18,7
74,20,0,14,18,0,9,0
75,15,0,1,0,0,1,6
76,8,18,21,2,3,1,5
77,1,3,24,15,0,2,4
78,0,3,26,3,0,15,7
79,17,5,31,0,0,2,0
80,23,1,34,15,4,12,6
81,13,5,9,13,0,2,7
82,0,5,17,0,2,0,7
83,1,3,2,2,0,1,5
84,6,1,23,2,1,3,4
85,2,6,0,1,0,24,5
86,0,13,36,0,5,2,1
87,0,1,16,12,0,14,4
88,2,2,0,2,2,5,2
89,30,3,8,3,2,1,3
90,2,8,11,15,0,25,4
91,21,5,0,3,4,4,1
92,10,14,1,16,0,9,1
93,27,17,15,0,0,3,0
94,22,2,22,9,4,20,7
95,12,4,0,10,0,5,5
96,34,15,0,6,0,15,6
97,7,10,0,14,0,3,1
98,0,2,36,19,0,3,0
99,4,1,9,5,0,8,4
100,17,3,29,0,1,31,5
101,0,0,32,0,0,6,3
102,5,4,15,9,0,0,1
103,13,5,8,13,3,1,4
104,19,8,17,6,0,5,3
105,2,14,33,3,0,1,7
106,5,8,1,14,0,3,6
107,17,6,12,21,0,1,0
108,0,2,18,4,1,0,7
109,0,7,42,4,0,12,3
110,17,9,9,5,4,1,1
111,0,5,0,6,0,28,2
112,1,1,13,5,0,2,2
113,16,4,6,3,0,1,4
114,0,1,25,11,0,8,2
