tokenId, hat, fur, clothes, eyes, earring, mouth, background, trait-count, color-match, mouth-match, zeros, nips
1,0,10,33,0,0,0,1,5,N/A,regular,4,covered
2,12,12,24,6,0,21,7,6,4-color,regular,1,covered
3,8,10,26,0,0,30,3,6,4-color,regular,2,covered
4,3,1,7,7,0,0,2,6,3-color,snout-match,2,covered
5,15,0,24,8,0,25,5,6,4-color,regular,2,covered
6,15,13,2,17,0,0,1,6,3-color,regular,2,covered
7,29,1,27,17,0,0,7,6,3-color,snout-match,2,covered
8,27,9,13,2,0,19,0,6,3-color,regular,2,covered
9,1,1,6,5,0,8,1,6,3-color,regular,1,covered
10,18,1,0,16,0,12,0,5,N/A,regular,3,magic monk
11,0,2,23,6,0,25,7,5,N/A,regular,2,covered
12,7,2,18,0,0,12,1,6,4-color,regular,2,covered
13,3,3,0,14,5,0,0,6,N/A,snout-match,3,magic monk
14,34,4,6,2,0,14,7,6,3-color,regular,1,covered
15,32,9,0,3,3,0,6,6,N/A,snout-match,2,magic monk
16,11,5,30,12,2,1,2,7,reverse color-match,regular,0,covered
17,8,3,31,14,1,4,7,7,4-color,regular,0,covered
18,29,10,0,13,3,2,7,6,N/A,regular,1,magic monk
19,1,10,12,1,1,6,1,7,4-color,regular,0,covered
20,25,15,4,11,0,2,5,6,4-color,regular,1,covered
21,4,1,26,5,0,0,7,6,4-color,snout-match,2,covered
22,10,11,0,8,1,1,3,6,N/A,regular,1,magic monk
23,0,14,26,16,0,3,3,5,N/A,regular,2,covered
24,0,8,0,22,0,6,3,4,N/A,regular,3,naked
25,0,11,1,0,0,0,5,5,N/A,snout-match,4,covered
26,32,0,15,21,0,0,0,6,3-color,snoutless,4,covered
27,13,1,19,2,0,2,5,6,4-color,regular,1,covered
28,33,3,22,1,0,0,6,6,4-color,snout-match,2,covered
29,6,1,21,2,0,1,1,6,3-color,regular,1,covered
30,18,0,35,0,0,0,4,6,4-color,snoutless,4,covered
31,31,2,2,16,0,16,6,6,3-color,regular,1,covered
32,22,0,17,1,0,2,6,6,3-color,regular,2,covered
33,16,1,26,2,0,4,3,6,3-color,regular,1,covered
34,27,5,17,15,1,3,4,7,4-color,regular,0,covered
35,1,8,15,2,0,26,7,6,4-color,regular,1,covered
36,27,0,0,0,0,1,0,5,N/A,regular,5,magic monk
37,0,0,2,4,0,3,0,5,N/A,regular,4,covered
38,0,10,42,0,0,16,5,5,N/A,regular,3,covered
39,0,15,28,7,1,1,1,6,N/A,regular,1,covered
40,8,4,38,0,0,0,0,6,3-color,snout-match,4,covered
41,18,2,19,0,0,6,0,6,3-color,regular,3,covered
42,24,4,0,0,0,9,0,5,N/A,snoutless,4,magic monk
43,5,10,6,2,0,19,0,6,color-match,regular,2,covered
44,5,8,23,1,1,1,5,7,4-color,regular,0,covered
45,1,3,0,18,3,22,6,6,N/A,regular,1,magic monk
46,0,8,3,18,5,1,7,6,N/A,regular,1,covered
47,6,0,36,5,0,4,5,6,4-color,regular,2,covered
48,0,11,0,0,0,22,5,4,N/A,regular,4,naked
49,8,13,13,8,0,0,0,6,3-color,regular,3,covered
50,4,12,32,0,0,1,7,6,4-color,regular,2,covered
51,28,12,24,2,0,26,4,6,3-color,regular,1,covered
52,5,1,14,3,0,15,2,6,3-color,regular,1,covered
53,11,14,9,15,0,14,1,6,4-color,regular,1,covered
54,0,5,32,9,3,1,0,6,N/A,regular,2,covered
55,3,1,10,13,0,0,3,6,3-color,snout-match,2,covered
56,3,5,29,18,5,0,6,7,3-color,snout-match,1,covered
57,2,2,42,13,0,26,6,6,4-color,regular,1,covered
58,1,2,0,3,1,0,5,6,N/A,snout-match,2,magic monk
59,2,7,36,3,0,6,0,6,4-color,regular,2,covered
60,0,11,32,2,0,0,6,5,N/A,snout-match,3,covered
61,0,7,14,1,1,23,2,6,N/A,regular,1,covered
62,12,11,0,12,0,5,5,5,N/A,regular,2,magic monk
63,17,11,21,0,3,0,3,7,3-color,snout-match,2,covered
64,0,8,0,19,0,31,2,4,N/A,regular,3,naked
65,14,9,37,2,4,0,2,7,4-color,snout-match,1,covered
66,0,1,8,5,6,0,3,6,N/A,snout-match,2,covered
67,0,8,20,11,1,11,4,6,N/A,regular,1,covered
68,0,3,35,13,0,10,1,5,N/A,snout-match,2,covered
69,1,3,9,3,0,3,4,6,3-color,regular,1,covered
70,25,2,32,0,2,1,0,7,3-color,regular,2,covered
71,0,1,9,2,0,10,3,5,N/A,snout-match,2,covered
72,27,9,2,20,0,10,4,6,4-color,snout-match,1,covered
73,0,4,3,19,0,18,7,5,N/A,snout-match,2,covered
74,20,0,14,18,0,9,0,6,4-color,regular,3,covered
75,15,0,1,0,0,1,6,6,3-color,regular,3,covered
76,8,18,21,2,3,1,5,7,3-color,regular,0,covered
77,1,3,24,15,0,2,4,6,4-color,regular,1,covered
78,0,3,26,3,0,15,7,5,N/A,regular,2,covered
79,17,5,31,0,0,2,0,6,4-color,regular,3,covered
80,23,1,34,15,4,12,6,7,3-color,regular,0,covered
81,13,5,9,13,0,2,7,6,4-color,regular,1,covered
82,0,5,17,0,2,0,7,6,N/A,snout-match,3,covered
83,1,3,2,2,0,1,5,6,3-color,regular,1,covered
84,6,1,23,2,1,3,4,7,3-color,regular,0,covered
85,2,6,0,1,0,24,5,5,N/A,regular,2,magic monk
86,0,13,36,0,5,2,1,6,N/A,regular,2,covered
87,0,1,16,12,0,14,4,5,N/A,regular,2,covered
88,2,2,0,2,2,5,2,6,N/A,regular,1,magic monk
89,30,3,8,3,2,1,3,7,4-color,regular,0,covered
90,2,8,11,15,0,25,4,6,3-color,regular,1,covered
91,21,5,0,3,4,4,1,6,N/A,regular,1,magic monk
92,10,14,1,16,0,9,1,6,3-color,regular,1,covered
93,27,17,15,0,0,3,0,6,4-color,regular,3,covered
94,22,2,22,9,4,20,7,7,2-color w/ matching solid color hat,regular,0,covered
95,12,4,0,10,0,5,5,5,N/A,regular,2,magic monk
96,34,15,0,6,0,15,6,5,N/A,regular,2,magic monk
97,7,10,0,14,0,3,1,5,N/A,regular,2,magic monk
98,0,2,36,19,0,3,0,5,N/A,regular,3,covered
99,4,1,9,5,0,8,4,6,color-match,regular,1,covered
100,17,3,29,0,1,31,5,7,3-color,regular,1,covered
101,0,0,32,0,0,6,3,5,N/A,regular,4,covered
102,5,4,15,9,0,0,1,6,4-color,snout-match,2,covered
103,13,5,8,13,3,1,4,7,4-color,regular,0,covered
104,19,8,17,6,0,5,3,6,4-color,regular,1,covered
105,2,14,33,3,0,1,7,6,3-color,regular,1,covered
106,5,8,1,14,0,3,6,6,3-color,regular,1,covered
107,17,6,12,21,0,1,0,6,3-color,regular,2,covered
108,0,2,18,4,1,0,7,6,N/A,snout-match,2,covered
109,0,7,42,4,0,12,3,5,N/A,snoutless,2,covered
110,17,9,9,5,4,1,1,7,4-color,regular,0,covered
111,0,5,0,6,0,28,2,4,N/A,regular,3,naked
112,1,1,13,5,0,2,2,6,4-color,regular,1,covered
113,16,4,6,3,0,1,4,6,3-color,snoutless,1,covered
114,0,1,25,11,0,8,2,5,N/A,regular,2,covered
115,3,5,0,4,0,16,0,5,N/A,regular,3,magic monk
116,22,5,19,0,0,19,0,6,2-color w/ matching solid color hat,regular,3,covered
117,11,4,0,1,4,0,7,6,N/A,snout-match,2,magic monk
118,0,7,0,7,4,3,2,5,N/A,snoutless,2,tagged
119,0,15,10,16,0,0,1,5,N/A,regular,3,covered
120,0,12,0,3,0,0,5,4,N/A,regular,4,naked
121,5,0,0,5,0,0,2,5,N/A,snoutless,4,magic monk
122,0,2,29,3,0,2,6,5,N/A,regular,2,covered
123,22,0,30,1,0,22,1,6,3-color,regular,2,covered
124,15,0,0,3,0,5,7,5,N/A,regular,3,magic monk
125,4,0,29,8,0,5,3,6,4-color,regular,2,covered
126,25,1,18,6,0,5,1,6,3-color,regular,1,covered
127,26,5,0,3,0,5,5,5,N/A,regular,2,magic monk
128,8,1,7,20,5,2,3,7,3-color,regular,0,covered
129,2,12,0,0,0,0,7,5,N/A,regular,4,magic monk
130,9,2,40,0,0,5,2,6,4-color,regular,2,covered
131,5,8,33,1,0,0,0,6,3-color,snout-match,3,covered
132,7,4,0,0,0,11,5,5,N/A,regular,3,magic monk
133,10,0,38,13,0,0,7,6,2-color w/ matching solid color hat,snoutless,3,covered
134,0,2,38,0,0,9,2,5,N/A,regular,3,covered
135,18,13,5,14,4,2,4,7,4-color,regular,0,covered
136,11,9,26,0,0,17,1,6,4-color,regular,2,covered
137,0,9,18,8,0,14,0,5,N/A,regular,3,covered
138,5,2,0,3,2,0,5,6,N/A,snout-match,2,magic monk
139,7,0,0,2,4,12,5,6,N/A,regular,2,magic monk
140,0,3,20,6,0,1,4,5,N/A,regular,2,covered
141,9,6,0,9,0,2,7,5,N/A,snoutless,2,magic monk
142,15,1,0,15,0,0,7,5,N/A,snout-match,3,magic monk
143,14,8,41,8,5,3,1,7,4-color,regular,0,covered
144,1,2,42,8,0,11,6,6,4-color,regular,1,covered
145,0,1,36,1,0,6,3,5,N/A,regular,2,covered
146,5,10,0,5,0,0,6,5,N/A,regular,3,magic monk
147,9,1,14,7,5,1,2,7,3-color,regular,0,covered
148,0,0,0,0,0,1,5,4,N/A,regular,5,naked
149,2,7,22,1,1,4,6,7,4-color,regular,0,covered
150,11,14,0,2,0,12,6,5,N/A,regular,2,magic monk
151,18,7,41,5,0,2,6,6,4-color,regular,1,covered
152,2,4,25,11,0,12,0,6,4-color,regular,2,covered
153,20,15,17,0,0,6,5,6,4-color,regular,2,covered
154,36,11,8,1,0,9,0,6,4-color,regular,2,covered
155,3,0,8,12,0,3,0,6,3-color,regular,3,covered
156,4,5,8,15,3,3,4,7,3-color,regular,0,covered
157,3,10,10,0,0,0,7,6,3-color,regular,3,covered
158,16,2,14,3,0,0,2,6,4-color,snout-match,2,covered
159,0,7,9,10,1,0,7,6,N/A,snout-match,2,covered
160,25,8,1,2,0,4,1,6,4-color,snoutless,1,covered
161,31,1,0,9,0,1,7,5,N/A,regular,2,magic monk
162,8,4,0,3,0,1,0,5,N/A,snoutless,3,magic monk
163,2,2,36,11,5,28,6,7,4-color,regular,0,covered
164,14,5,38,1,3,30,7,7,3-color,regular,0,covered
165,0,7,32,5,0,13,3,5,N/A,regular,2,covered
166,0,11,1,14,0,12,1,5,N/A,regular,2,covered
167,0,1,20,0,0,1,7,5,N/A,regular,3,covered
168,19,6,0,1,1,9,6,6,N/A,regular,1,magic monk
169,8,12,25,0,0,1,7,6,4-color,regular,2,covered
170,23,2,0,7,0,11,6,5,N/A,regular,2,magic monk
171,1,6,1,5,0,1,7,6,3-color,regular,1,covered
